finding_name,cvss,port,severity,evidence,label
Unauthenticated Redis Server,9.2,6379,Critical,Redis instance lacks password protection,1
Open RDP Port,5,3389,Medium,NLA is not enforced,0
Unauthenticated Redis Server,9.4,6379,Critical,Redis instance lacks password protection,1
Default SSH Credentials,9.2,22,Critical,Successfully authenticated using root:root,1
Anonymous FTP Login,5.9,21,Medium,Anonymous login permitted with any password,0
Unauthenticated Redis Server,9.2,6379,Critical,Redis instance lacks password protection,1
Directory Traversal,8.7,80,High,Accessed /etc/passwd via ../../ payload,0
Unauthenticated Redis Server,9.1,6379,Critical,Able to read/write keys anonymously,0
Outdated TLS Version (TLS 1.0),3.1,443,Low,Legacy cipher suites detected,0
Information Disclosure,5.1,80,Low,Stack trace visible in error handling,1
Directory Traversal,7.5,80,High,Read boot.ini using path manipulation,1
Outdated TLS Version (TLS 1.0),3,443,Low,Server supports TLS 1.0,0
Unauthenticated Redis Server,8.7,6379,Critical,Redis instance lacks password protection,1
Command Injection,9.1,8080,Critical,Reverse shell obtained via web form,1
Unauthenticated Redis Server,8.6,6379,Critical,Able to read/write keys anonymously,1
Information Disclosure,4.6,443,Low,server-status page exposed,0
Directory Traversal,8,443,High,Read boot.ini using path manipulation,1
Directory Traversal,7.6,80,High,Accessed /etc/passwd via ../../ payload,1
Unauthenticated Redis Server,9.3,6379,Critical,Redis instance lacks password protection,1
SQL Injection Vulnerability,8.4,443,Critical,Detected UNION SELECT in parameter,1
Command Injection,9.4,80,Critical,Executed OS commands via ping parameter,1
Anonymous FTP Login,4.6,21,Medium,Guest FTP access found,0
Outdated TLS Version (TLS 1.0),3.4,8443,Low,Legacy cipher suites detected,0
Unauthenticated Redis Server,9,6379,Critical,Redis instance lacks password protection,1
Open RDP Port,5.4,3389,Medium,RDP port exposed to the internet,0
Command Injection,10,80,Critical,Executed OS commands via ping parameter,1
SQL Injection Vulnerability,7.8,8080,Critical,Detected UNION SELECT in parameter,1
Outdated TLS Version (TLS 1.0),3.1,443,Low,Server supports TLS 1.0,0
Directory Traversal,7.4,80,High,Read boot.ini using path manipulation,1
Cross-Site Scripting (XSS),4.4,443,Medium,Stored XSS in user profile,1
Outdated TLS Version (TLS 1.0),3.1,8443,Low,Legacy cipher suites detected,0
Information Disclosure,3.5,443,Medium,server-status page exposed,0
Cross-Site Scripting (XSS),5.1,80,Medium,Stored XSS in user profile,1
Information Disclosure,4.8,80,Medium,server-status page exposed,0
Command Injection,9,8080,Critical,Executed OS commands via ping parameter,1
Directory Traversal,7,443,High,Accessed /etc/passwd via ../../ payload,1
Outdated TLS Version (TLS 1.0),2.3,8443,Low,Legacy cipher suites detected,0
Directory Traversal,8.9,443,High,Read boot.ini using path manipulation,1
Unauthenticated Redis Server,8.8,6379,Critical,Able to read/write keys anonymously,1
Cross-Site Scripting (XSS),5.6,80,High,DOM-based XSS in window.location,1
Default SSH Credentials,9,22,Critical,Admin:admin worked on port 22,1
Anonymous FTP Login,4.2,21,Medium,Anonymous login permitted with any password,0
Unauthenticated Redis Server,9.1,6379,Critical,Redis instance lacks password protection,1
Cross-Site Scripting (XSS),5,443,High,DOM-based XSS in window.location,1
SQL Injection Vulnerability,9.7,8080,High,Blind SQLi payload triggered sleep(5),1
Unauthenticated Redis Server,9.6,6379,Critical,Able to read/write keys anonymously,1
Open RDP Port,4.1,3389,Medium,RDP port exposed to the internet,0
Open RDP Port,4.8,3389,Medium,NLA is not enforced,0
Cross-Site Scripting (XSS),5.7,80,Medium,Stored XSS in user profile,1
Cross-Site Scripting (XSS),4.4,443,High,DOM-based XSS in window.location,1
Open RDP Port,5,3389,Medium,NLA is not enforced,0
Unauthenticated Redis Server,8.6,6379,Critical,Redis instance lacks password protection,1
Default SSH Credentials,9.6,22,Critical,Successfully authenticated using root:root,1
Outdated TLS Version (TLS 1.0),3.8,8443,Low,Legacy cipher suites detected,0
Open RDP Port,4.1,3389,Medium,RDP port exposed to the internet,0
Command Injection,9.4,443,Critical,Reverse shell obtained via web form,1
Cross-Site Scripting (XSS),4.5,443,Medium,DOM-based XSS in window.location,1
Open RDP Port,5.2,3389,Medium,NLA is not enforced,0
Anonymous FTP Login,4.9,21,Medium,Anonymous login permitted with any password,0
Open RDP Port,4.4,3389,Medium,RDP port exposed to the internet,0
SQL Injection Vulnerability,9.4,443,Critical,Detected UNION SELECT in parameter,1
Unauthenticated Redis Server,9.6,6379,Critical,Redis instance lacks password protection,1
Information Disclosure,3.2,443,Low,phpinfo() output found,0
Command Injection,9.5,8080,Critical,Executed OS commands via ping parameter,1
Directory Traversal,7.2,443,High,Accessed /etc/passwd via ../../ payload,1
Command Injection,9.5,80,Critical,Executed OS commands via ping parameter,0
Command Injection,9.5,8080,Critical,Reverse shell obtained via web form,1
Command Injection,9,8080,Critical,Reverse shell obtained via web form,1
Unauthenticated Redis Server,8.9,6379,Critical,Able to read/write keys anonymously,1
Outdated TLS Version (TLS 1.0),2.4,443,Low,Legacy cipher suites detected,0
Outdated TLS Version (TLS 1.0),2.3,8443,Low,Legacy cipher suites detected,0
Outdated TLS Version (TLS 1.0),2.4,443,Low,Server supports TLS 1.0,0
Outdated TLS Version (TLS 1.0),2.8,443,Low,Legacy cipher suites detected,0
Default SSH Credentials,9.6,22,Critical,Admin:admin worked on port 22,1
Directory Traversal,8.8,80,High,Accessed /etc/passwd via ../../ payload,1
Command Injection,9.6,443,Critical,Reverse shell obtained via web form,1
SQL Injection Vulnerability,9.2,80,High,Blind SQLi payload triggered sleep(5),1
Command Injection,9.2,443,Critical,Reverse shell obtained via web form,1
Open RDP Port,5.3,3389,Medium,RDP port exposed to the internet,0
Outdated TLS Version (TLS 1.0),2.3,443,Low,Server supports TLS 1.0,0
Directory Traversal,8.1,443,High,Read boot.ini using path manipulation,1
Default SSH Credentials,9.2,22,Critical,Admin:admin worked on port 22,1
Outdated TLS Version (TLS 1.0),2.4,443,Low,Server supports TLS 1.0,0
Default SSH Credentials,10,22,Critical,Admin:admin worked on port 22,1
Open RDP Port,4.8,3389,Medium,NLA is not enforced,0
